,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,TPG,Team,USG,Year,pct_from_3
0,0.6,1.7,7,0.375,0.284,46,6-7,14.8,1.3,2.4,Keith Askins,SF,2.2,750000,0.6,MIA,10.7,1998,
1,1.7,0.9,4,0.476,0.0,52,6-10,26.4,1.3,12.7,Isaac Austin,C,6.3,384000,2.3,MIA,25.5,1998,
2,1.4,2.9,4,0.471,0.376,74,6-11,31.9,0.1,9.6,P.J. Brown,PF,8.6,3844800,1.3,MIA,15.3,1998,
3,0.1,1.6,7,0.416,0.375,37,7-0,9.8,1.3,2.4,Duane Causwell,C,2.7,1211705,0.5,MIA,15.2,1998,
4,1.4,0.0,5,0.474,0.167,5,6-6,13.8,1.3,6.0,Todd Day,SG,1.2,272250,0.6,MIA,25.7,1998,
5,8.3,2.9,7,0.472,0.351,81,6-0,37.4,5.1,18.9,Tim Hardaway,PG,3.7,4800000,2.8,MIA,25.6,1998,
6,2.2,2.9,2,0.441,0.405,81,6-4,32.4,1.8,12.6,Voshon Lenard,SG,3.6,2364597,1.2,MIA,18.4,1998,
7,2.2,1.1,9,0.507,0.376,72,6-6,26.8,1.3,7.2,Dan Majerle,SG,3.7,2820000,0.9,MIA,12.7,1998,
8,2.8,0.1,4,0.47,0.303,48,6-8,36.0,0.5,15.1,Jamal Mashburn,SF,4.9,4433334,2.3,MIA,21.2,1998,
9,0.8,0.2,7,0.448,0.309,50,6-10,15.6,1.3,4.2,Terry Mills,PF,3.0,1000000,0.9,MIA,15.8,1998,
10,0.9,1.1,5,0.551,0.405,58,6-10,33.4,0.1,19.2,Alonzo Mourning,C,9.6,11254800,3.1,MIA,26.8,1998,
11,2.7,1.4,6,0.454,0.308,82,6-1,17.0,0.3,6.2,Eric Murdock,PG,1.9,272250,1.3,MIA,19.8,1998,
12,0.2,0.7,R,0.2,0.333,11,6-4,2.9,6.9,0.9,Charles Smith,SG,0.7,619200,0.5,MIA,36.3,1998,
13,0.5,0.4,2,0.541,0.0,51,6-9,16.6,1.3,6.8,Mark Strickland,PF,4.2,272250,0.9,MIA,19.4,1998,
0,3.9,0.6,3,0.457,0.31,68,6-3,23.5,6.0,6.3,Chris Childs,PG,2.4,3120000,1.5,NYK,15.0,1998,
1,0.4,3.1,10,0.406,0.75,51,6-11,16.8,6.0,3.1,Chris Dudley,C,5.4,1135000,0.9,NYK,12.4,1998,
2,1.1,1.6,12,0.506,0.0,26,7-0,32.6,6.0,20.8,Patrick Ewing,C,10.2,20500000,3.0,NYK,31.1,1998,
3,2.6,4.1,4,0.46,0.385,82,6-6,34.7,0.1,18.4,Allan Houston,SG,3.3,6000000,2.4,NYK,26.7,1998,
4,2.1,0.2,6,0.504,0.238,70,6-6,34.5,1.1,15.5,Larry Johnson,SF,5.7,8460714,1.8,NYK,22.1,1998,
5,1.7,1.2,4,0.468,0.292,80,6-6,27.3,6.0,9.7,Chris Mills,SF,5.1,3000000,1.3,NYK,18.6,1998,
6,0.3,3.9,8,0.5,0.385,9,6-6,4.4,6.0,1.6,Pete Myers,SG,1.1,272250,0.4,NYK,19.5,1998,
7,2.5,4.1,12,0.444,0.0,79,6-8,34.6,1.1,9.0,Charles Oakley,PF,9.2,2850000,1.6,NYK,15.0,1998,
8,2.7,1.2,8,0.441,0.327,82,6-3,26.7,1.3,12.9,John Starks,SG,2.8,5112500,1.7,NYK,25.6,1998,
9,5.7,2.5,3,0.512,0.377,82,6-2,28.3,0.8,7.8,Charlie Ward,PG,3.3,1054500,2.1,NYK,15.0,1998,
10,0.5,1.5,16,0.503,0.75,41,6-8,18.0,6.0,4.9,Buck Williams,PF,4.5,1431000,0.9,NYK,13.9,1998,
11,0.1,2.6,16,0.419,0.385,27,6-10,6.6,6.0,1.4,Herb Williams,PF,1.1,766667,0.2,NYK,13.6,1998,
0,0.3,0.1,5,0.407,0.345,53,6-8,15.1,0.3,5.3,David Benoit,SF,2.7,609096,0.7,NJN,17.8,1998,
1,0.4,2.9,13,0.518,0.0,79,6-9,15.2,0.3,1.3,Michael Cage,C,3.9,2055421,0.3,NJN,4.4,1998,
2,8.0,2.9,4,0.46,0.188,75,6-3,34.7,4.1,19.6,Sam Cassell,PG,3.0,2500000,3.6,NJN,27.5,1998,
3,0.1,4.0,3,0.222,0.5,10,7-0,6.0,,1.2,Yinka Dare,C,1.7,1552500,0.2,NJN,17.0,1998,
4,4.0,2.9,8,0.514,0.304,80,6-0,21.2,1.1,8.0,Sherman Douglas,PG,1.7,272250,1.4,NJN,17.9,1998,
5,1.0,4.0,9,0.347,0.364,27,6-3,13.0,0.3,3.4,Kevin Edwards,SG,1.3,2640000,0.7,NJN,16.4,1998,
6,0.9,2.9,6,0.457,0.25,57,6-10,23.8,0.3,11.5,Chris Gatling,PF,5.9,3656400,1.7,NJN,24.3,1998,
7,2.5,1.6,7,0.449,0.257,81,6-5,33.7,0.3,13.4,Kendall Gill,SF,4.8,4400000,1.5,NJN,19.8,1998,
8,0.0,4.0,8,0.294,0.0,16,6-10,3.2,,1.4,Jack Haley,C,0.9,272250,0.3,NJN,26.6,1998,
9,0.8,0.1,4,0.413,0.308,50,6-5,13.4,0.3,3.8,Lucious Harris,SG,1.0,1440000,0.4,NJN,14.4,1998,
10,2.3,0.0,1,0.447,0.418,77,6-5,36.5,2.9,17.2,Kerry Kittles,SG,4.7,1559040,1.4,NJN,21.2,1998,
11,0.0,4.0,5,0.0,0.5,9,6-10,4.7,,0.3,Don MacLean,SF,0.6,2120000,0.2,NJN,12.4,1998,
12,1.7,2.9,R,0.458,0.308,62,6-10,37.5,1.0,19.7,Keith Van Horn,PF,6.6,2655360,2.6,NJN,25.2,1998,
13,1.0,2.9,7,0.501,0.0,65,6-9,36.0,2.3,12.9,Jayson Williams,C,13.6,2500000,1.5,NJN,16.1,1998,
0,2.1,0.1,4,0.467,0.283,82,6-7,34.6,2.6,12.8,Calbert Cheaney,SG,4.0,3600000,1.3,WAS,18.4,1998,
1,0.4,0.4,7,0.498,0.0,74,6-9,23.0,0.8,4.4,Terry Davis,PF,6.5,272250,0.8,WAS,9.5,1998,
2,0.6,0.4,9,0.389,0.167,65,6-8,13.8,1.4,2.6,Harvey Grant,SF,2.6,4671875,0.4,WAS,11.7,1998,
3,0.2,0.9,1,0.529,0.0,71,6-7,8.9,1.4,2.0,Darvin Ham,SF,1.8,272250,0.5,WAS,12.1,1998,
4,3.3,0.3,3,0.468,0.0,64,6-9,40.0,2.6,18.5,Juwan Howard,PF,7.0,11250000,2.9,WAS,23.2,1998,
5,0.4,,7,0.231,0.0,8,6-4,9.5,3.3,1.1,Tim Legler,SG,0.5,1105000,0.5,WAS,14.5,1998,
6,1.0,0.4,5,0.482,0.392,82,6-7,27.2,2.6,15.1,Tracy Murray,SF,3.4,2040000,1.2,WAS,24.0,1998,
7,1.0,,3,0.5,0.5,1,6-5,10.0,3.3,5.0,Jimmy Oliver,SG,2.0,272250,0.0,WAS,17.8,1998,
8,1.8,,R,0.339,0.0,20,6-0,7.3,1.4,3.1,God Shammgod,PG,0.4,242250,1.1,WAS,28.1,1998,
9,10.5,0.1,9,0.442,0.25,76,6-3,39.7,2.5,17.8,Rod Strickland,PG,5.3,3450000,3.5,WAS,23.7,1998,
10,0.3,3.5,1,0.518,0.167,67,6-9,16.8,0.8,3.1,Ben Wallace,C,4.8,326700,0.4,WAS,9.3,1998,
11,3.8,2.4,4,0.512,0.317,71,6-9,39.6,2.6,21.9,Chris Webber,C,9.5,9000000,2.6,WAS,26.5,1998,
12,2.4,0.4,4,0.398,0.308,82,6-0,13.1,0.8,5.1,Chris Whitney,PG,1.4,1200000,0.8,WAS,19.7,1998,
13,0.2,,5,0.765,0.0,14,6-9,7.9,1.4,1.9,Lorenzo Williams,PF,1.9,1128000,0.1,WAS,8.0,1998,
0,2.1,0.2,8,0.493,0.36,58,6-6,29.3,3.4,15.3,Nick Anderson,SF,5.1,4000000,1.5,ORL,25.0,1998,
1,4.9,0.0,3,0.42,0.368,48,6-0,25.8,1.1,9.2,Darrell Armstrong,PG,3.3,350000,2.3,ORL,20.2,1998,
2,0.7,3.5,1,0.404,0.267,44,6-8,12.8,1.3,4.7,Brian Evans,SF,1.9,607545,0.5,ORL,20.5,1998,
3,2.3,2.1,10,0.462,0.0,76,6-10,36.9,0.2,12.1,Horace Grant,C,8.1,14285714,1.2,ORL,16.9,1998,
4,3.6,0.3,4,0.395,0.3,19,6-7,32.9,1.3,16.4,Anfernee Hardaway,SG,4.0,7580000,2.4,ORL,27.2,1998,
5,3.5,0.2,14,0.442,0.36,66,6-4,26.7,3.4,8.6,Derek Harper,SG,1.6,1560000,1.5,ORL,17.6,1998,
