,APG,DBPM,Exp,FG2_pct,FG3_pct,GP,Height,MPG,OBPM,PPG,Player,Pos,RPG,Salary,Salary5,TPG,Team,USG,Year,pct_from_3
0,4.6,2.6,4,0.441,0.32,71,6-0,42.0,5.0,31.1,Allen Iverson,SG,3.8,10130000,14625000,3.3,PHI,35.9,2001,0.16899999999999998
1,0.5,0.3,1,0.474,0.33299999999999996,65,6-8,13.3,0.2,4.7,Jumaine Jones,SF,2.9,735600,1687500,0.6,PHI,17.6,2001,0.218
2,1.9,0.4,7,0.47200000000000003,0.41,48,6-10,20.4,0.8,8.0,Toni Kukoc,SF,3.4,6000000,3000000,1.3,PHI,19.8,2001,0.23600000000000002
3,1.7,2.6,7,0.46299999999999997,0.263,82,6-8,32.3,0.9,8.4,George Lynch,SF,7.2,2200000,3000000,1.3,PHI,13.7,2001,0.09300000000000001
4,5.0,1.0,6,0.524,0.312,76,6-5,31.5,0.9,11.6,Aaron McKie,SG,4.1,1818000,5500000,2.7,PHI,18.9,2001,0.23800000000000002
5,0.1,0.9,2,0.466,0.33299999999999996,30,6-10,6.5,4.9,3.2,Nazr Mohammed,C,1.8,739080,5250000,0.3,PHI,25.2,2001,0.0
6,1.2,4.9,5,0.499,0.263,50,6-10,36.0,0.8,12.4,Theo Ratliff,C,8.3,7800000,10937500,2.5,PHI,17.0,2001,0.0
7,7.4,0.3,5,0.425,0.263,50,6-3,34.8,0.8,9.8,Eric Snow,PG,3.3,3380000,4875000,2.5,PHI,16.3,2001,0.044000000000000004
8,1.6,1.8,4,0.39399999999999996,0.336,82,6-7,32.7,3.2,7.6,Bruce Bowen,SF,3.0,733000,3000000,0.9,MIA,13.1,2001,0.528
9,3.7,0.7,1,0.43,0.15,72,6-1,22.6,1.4,6.4,Anthony Carter,PG,2.5,1200000,807546,1.7,MIA,19.2,2001,0.083
10,1.6,1.3,2,0.39299999999999996,1.0,7,6-6,10.0,1.4,4.6,Ricky Davis,SG,1.0,939360,5455200,0.7,MIA,26.0,2001,0.034
11,1.2,1.0,6,0.48,0.0,82,6-9,33.8,3.2,15.2,Brian Grant,C,8.8,8900000,13233434,2.1,MIA,23.4,2001,0.001
12,6.3,1.9,10,0.41700000000000004,0.366,77,6-0,33.9,3.2,14.9,Tim Hardaway,PG,2.6,12000000,1304520,2.5,MIA,24.3,2001,0.496
13,1.0,1.4,R,0.44299999999999995,0.345,50,6-1,11.0,1.4,5.0,Eddie House,PG,0.8,316969,563327,0.7,MIA,26.2,2001,0.223
14,2.7,1.9,6,0.47100000000000003,0.37799999999999995,63,6-6,36.2,2.4,17.4,Eddie Jones,SG,4.6,8960000,13455000,2.1,MIA,23.9,2001,0.273
15,0.9,2.4,8,0.521,0.0,13,6-10,23.5,1.4,13.6,Alonzo Mourning,C,7.8,16880000,2500000,2.2,MIA,30.6,2001,0.006999999999999999
16,0.5,1.9,3,0.5,0.0,15,6-4,4.4,4.3,1.3,Rick Brunson,PG,0.8,523500,932546,0.5,NYK,21.9,2001,0.158
17,0.8,4.1,4,0.53,0.125,63,6-11,33.8,0.1,12.0,Marcus Camby,C,11.5,5750000,8500000,1.0,NYK,17.0,2001,0.013999999999999999
18,2.2,4.1,7,0.467,0.381,78,6-6,36.6,1.2,18.7,Allan Houston,SG,3.6,9000000,17531250,2.1,NYK,25.7,2001,0.209
19,1.2,4.1,11,0.46,0.389,75,6-7,29.5,0.3,12.0,Glen Rice,SF,4.1,7578900,400000,1.3,NYK,20.5,2001,0.281
20,3.5,1.1,8,0.446,0.304,77,6-5,39.2,1.2,17.7,Latrell Sprewell,SF,4.5,10125000,14625000,2.8,NYK,25.8,2001,0.111
21,1.0,1.0,4,0.28600000000000003,0.34,28,6-3,15.0,4.3,4.3,Erick Strickland,PG,1.9,2560000,1650000,0.8,NYK,19.1,2001,0.359
22,0.8,2.1,5,0.512,0.33299999999999996,77,6-9,27.6,0.0,10.4,Kurt Thomas,PF,6.7,3680000,5884500,1.3,NYK,18.5,2001,0.005
23,4.5,0.7,6,0.444,0.38299999999999995,61,6-2,24.5,1.1,7.1,Charlie Ward,PG,2.6,5040000,1700000,1.8,NYK,16.9,2001,0.469
